epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
208,nan,nan,0.75,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
209,nan,nan,0.725,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
210,nan,nan,0.725,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
211,nan,nan,0.746875,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
212,nan,nan,0.721875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
213,nan,nan,0.746875,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
214,nan,nan,0.73125,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
215,nan,nan,0.71875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
216,nan,nan,0.75625,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
217,nan,nan,0.746875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
218,nan,nan,0.753125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
219,nan,nan,0.728125,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
220,nan,nan,0.7,0.0,0.55,0.0,1.0,0.5,1.0,0.5
221,nan,nan,0.765625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
222,nan,nan,0.71875,0.0,0.55,0.0,1.0,0.5,1.0,0.5
223,nan,nan,0.703125,0.0,0.575,0.0,1.0,0.5,1.0,0.5
224,nan,nan,0.684375,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
225,nan,nan,0.71875,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
226,nan,nan,0.74375,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
227,nan,nan,0.7625,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
228,nan,nan,0.7625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
229,nan,nan,0.753125,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
230,nan,nan,0.725,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
231,nan,nan,0.728125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
232,nan,nan,0.765625,0.0,0.540625,0.0,1.0,0.5,1.0,0.5
233,nan,nan,0.703125,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
234,nan,nan,0.746875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
235,nan,nan,0.7,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
236,nan,nan,0.73125,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
237,nan,nan,0.728125,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
238,nan,nan,0.684375,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
239,nan,nan,0.775,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
240,nan,nan,0.75625,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
241,nan,nan,0.7625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
242,nan,nan,0.75625,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
243,nan,nan,0.70625,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
244,nan,nan,0.70625,0.0,0.55,0.0,1.0,0.5,1.0,0.5
245,nan,nan,0.7,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
246,nan,nan,0.7375,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
247,nan,nan,0.721875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
248,nan,nan,0.7375,0.0,0.5375,0.0,1.0,0.5,1.0,0.5
249,nan,nan,0.71875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
250,nan,nan,0.771875,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
